open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,fundingRate,markPrice,return_1,future_return_1,hl_spread,co_return,volume_change,ma_5,ma_20,volatility_20
2024-01-01 00:00:00+00:00,2281.87,2306.6,2271.0,2273.81,35739.3336,2024-01-01 03:59:59.999000+00:00,81912878.879895,87164,17821.0674,40848602.753988,0,,,,0.00476475515790753,0.01565654122376096,-0.0035321907032389863,,,,
2024-01-01 04:00:00+00:00,2273.8,2287.88,2265.24,2284.67,28107.5133,2024-01-01 07:59:59.999000+00:00,64031744.718952,75452,14529.7001,33106677.463269,0,,,0.00476475515790753,0.008629121300160136,0.009909527415338026,0.004780543583428574,-0.21354120324168546,,,
2024-01-01 08:00:00+00:00,2284.68,2305.05,2280.0,2304.47,27894.1092,2024-01-01 11:59:59.999000+00:00,64028662.774929,73647,14221.3256,32645320.101505,0,,,0.008629121300160136,0.004429374422460164,0.010870178392428707,0.008662044575170249,-0.007592421916598369,,,
2024-01-01 12:00:00+00:00,2304.47,2318.34,2294.84,2314.7,32165.8522,2024-01-01 15:59:59.999000+00:00,74146461.242163,86973,16670.2894,38434059.948675,0,,,0.004429374422460164,0.009699213604692503,0.010152503564176784,0.004439198600979843,0.15314140234311568,,,
2024-01-01 16:00:00+00:00,2314.69,2340.98,2306.48,2337.26,46802.2526,2024-01-01 19:59:59.999000+00:00,108651986.614459,111776,24815.5336,57615138.191956,0,,,0.009699213604692503,0.006303733581888515,0.014760873843731547,0.00975076576128992,0.4550291504479398,2302.9819999999995,,
2024-01-01 20:00:00+00:00,2337.27,2352.37,2323.66,2352.04,45993.6305,2024-01-01 23:59:59.999000+00:00,107679485.382408,101658,24316.5209,56938776.940852,0,,,0.006303733581888515,0.014515488681906774,0.012206425060798302,0.006319338373401439,-0.017277418395028277,2318.6279999999997,,
2024-01-02 00:00:00+00:00,2352.05,2397.56,2346.95,2386.43,99666.5004,2024-01-02 03:59:59.999000+00:00,236938154.749775,209714,48678.9572,115701793.357998,0,,,0.014515488681906774,-0.0002472617865318938,0.02120741023202027,0.014617036202461534,1.1669631059022403,2338.9799999999996,,
2024-01-02 04:00:00+00:00,2386.42,2392.4,2373.69,2385.84,50541.6586,2024-01-02 07:59:59.999000+00:00,120430732.840442,108586,25306.8491,60304168.487411,0,,,-0.0002472617865318938,0.0022607962604936915,0.00784210173356136,-0.00024304187862988377,-0.49289221155396357,2355.254,,
2024-01-02 08:00:00+00:00,2385.84,2431.3,2380.09,2391.24,106170.146,2024-01-02 11:59:59.999000+00:00,255898942.065251,223019,53259.4834,128368446.649059,0,,,0.0022607962604936915,-0.014218807923962018,0.02141566718522609,0.0022633537873451848,1.100646257778331,2370.5619999999994,,
2024-01-02 12:00:00+00:00,2391.24,2404.68,2352.04,2357.48,88164.7305,2024-01-02 15:59:59.999000+00:00,209634085.915994,203817,41056.4801,97661289.962783,0,,,-0.014218807923962018,0.004954872651334874,0.022328927498854654,-0.014118198089693952,-0.16959019251984442,2374.6059999999993,,
2024-01-02 16:00:00+00:00,2357.48,2372.75,2350.19,2369.19,56961.7444,2024-01-02 19:59:59.999000+00:00,134508165.839773,145168,26752.1697,63185516.884617,0,,,0.004954872651334874,-0.0058630338571870055,0.009522241778835781,0.004967168332287034,-0.35391687722563847,2378.035999999999,,
2024-01-02 20:00:00+00:00,2369.19,2380.0,2341.0,2355.34,56536.8843,2024-01-02 23:59:59.999000+00:00,133512116.637856,138031,28692.3027,67761063.137884,0,,,-0.0058630338571870055,0.0055759747337011945,0.01655811899768186,-0.0058458798154643185,-0.007458691872505363,2371.8179999999993,,
2024-01-03 00:00:00+00:00,2355.35,2384.66,2347.4,2368.51,46709.8425,2024-01-03 03:59:59.999000+00:00,110581084.999534,109981,26394.8164,62495591.817783,0,,,0.0055759747337011945,-0.0029047725042907757,0.015731409198187787,0.00558728002207753,-0.1738164725854905,2368.3519999999994,,
2024-01-03 04:00:00+00:00,2368.51,2380.9,2356.99,2361.64,46554.4864,2024-01-03 07:59:59.999000+00:00,110433314.939657,96938,23124.8816,54856928.444394,0,,,-0.0029047725042907757,-0.023113602096889174,0.010124320387527443,-0.002900557734609668,-0.0033259820989547384,2362.4319999999993,,
